ent,state,postal
1,AGUASCALIENTES,AG
2,BAJA CALIFORNIA,BC
3,BAJA CALIFORNIA SUR,BS
4,CAMPECHE,CM
5,COAHUILA DE ZARAGOZA,CO
6,COLIMA,CL
7,CHIAPAS,CS
8,CHIHUAHUA,CH
9,CIUDAD DE MÉXICO,DF
10,DURANGO,DG
11,GUANAJUATO,GJ
12,GUERRERO,GR
13,HIDALGO,HG
14,JALISCO,JA
15,MÉXICO,MX
16,MICHOACÁN DE OCAMPO,MI
17,MORELOS,MO
18,NAYARIT,NA
19,NUEVO LEÓN,NL
20,OAXACA,OA
21,PUEBLA,PU
22,QUERÉTARO,QT
23,QUINTANA ROO,QR
24,SAN LUIS POTOSÍ,SL
25,SINALOA,SI
26,SONORA,SO
27,TABASCO,TB
28,TAMAULIPAS,TM
29,TLAXCALA,TL
30,VERACRUZ DE IGNACIO DE LA LLAVE,VE
31,YUCATAN,YU
32,ZACATECAS,ZA